subset,condition,seed,n,positive,negative,status,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M11,1024,7757,6,7751,DESCRIPTIVE,0.8846277899625855,0.003911445055440289,0.0,0.002577319587628866,0.3333333333333333,388,16,3,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__GCN__M11,42,7757,6,7751,DESCRIPTIVE,0.8502773835634112,0.0045902022624087725,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__GCN__M11,123,7757,6,7751,DESCRIPTIVE,0.9053240442093493,0.005258631404560451,0.0,0.005154639175257732,0.6666666666666666,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__GCN__M11,456,7757,6,7751,DESCRIPTIVE,0.8495462951017072,0.0037902566870327897,0.0,0.0,0.5,388,1,1,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__GCN__M11,789,7757,6,7751,DESCRIPTIVE,0.8710058917128973,0.004154146571562761,0.0,0.002577319587628866,0.6666666666666666,388,1,1,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__GCN__M11,1024,7757,6,7751,DESCRIPTIVE,0.8383434395561863,0.002736283415669894,0.0,0.0,0.3333333333333333,388,1,1,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__SAGE__M11,42,7757,6,7751,DESCRIPTIVE,0.8473530297165958,0.0038627934881251573,0.0,0.002577319587628866,0.6666666666666666,388,1,1,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__SAGE__M11,123,7757,6,7751,DESCRIPTIVE,0.8733496753107126,0.00532040083827028,0.0,0.007731958762886598,0.6666666666666666,388,1,1,0,0.007731958762886598,0.007731958762886598
source_screen_no_detected_exposure_or_absence,primary__SAGE__M11,456,7757,6,7751,DESCRIPTIVE,0.7703952178213564,0.005426078077140562,0.014814814814814815,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__SAGE__M11,789,7757,6,7751,DESCRIPTIVE,0.7977250247279921,0.004076180820273418,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__SAGE__M11,1024,7757,6,7751,DESCRIPTIVE,0.8129488668128844,0.0035288386805434435,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__MLP__M5,42,7757,6,7751,DESCRIPTIVE,0.7117361200705286,0.002172172554435567,0.0058823529411764705,0.002577319587628866,0.3333333333333333,388,1,1,0,0.002577319587628866,0.002577319587628866
