left,right,resampling_scheme,metric,observed_delta,ci_low,ci_high,replicates,n,positives,company_clusters
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_x_matched_seed,r_at_10fpr,-0.009999999999999986,-0.2,0.1473798627002288,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_x_matched_seed,roc_auc,0.06430897207367792,-0.005619612754018744,0.14399914081406326,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_x_matched_seed,ap,0.004239348575567426,-0.0006664483154349962,0.01468458982415424,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_x_matched_seed,f1_val_threshold,0.009487389121213788,-0.007382256666508292,0.03324258934849222,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_x_matched_seed,p_at_5pct,0.007582938388625592,-0.0009479235852348853,0.019477434679334913,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_x_matched_seed,r_at_10fpr,0.15000000000000002,-0.125,0.4119251336898388,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_x_matched_seed,roc_auc,0.056171717171717137,-0.004513269982190249,0.13341416454668364,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_x_matched_seed,ap,-0.0059075688869708876,-0.04629272019716913,0.0077356350799179935,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_x_matched_seed,f1_val_threshold,0.016750765909869327,-0.01581610103448531,0.057151250551609634,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_x_matched_seed,p_at_5pct,0.0018957345971563975,-0.0037735849056603765,0.007611398063908874,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_x_matched_seed,r_at_10fpr,0.08999999999999997,-0.09999999999999998,0.3101071428571423,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_x_matched_seed,roc_auc,0.055905525846702345,-0.014014020487839136,0.14002057584197763,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_x_matched_seed,ap,0.00243950453643072,-0.0017175055053098318,0.008643355760491755,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_x_matched_seed,f1_val_threshold,-0.0019754068476351464,-0.014585317781486504,0.00692715979672501,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_x_matched_seed,p_at_5pct,0.005213270142180096,-0.0033254156769596194,0.01421885377852326,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_x_matched_seed,r_at_10fpr,0.09000000000000001,-0.11249999999999999,0.3066666666666666,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_x_matched_seed,roc_auc,0.019718360071301254,-0.0897508229610007,0.13455656614830963,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_x_matched_seed,ap,0.006242102972032341,-0.0011667485941878727,0.021286952093664758,2000,8435,20,4531
