condition,seed,archived_p5,stable_p5,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
fixed1095__RandomForest__M11,123,0.02132701421800948,0.02132701421800948,8435,422,19,5,0,0.02132701421800948,0.02132701421800948
fixed1095__RandomForest__M11,456,0.018957345971563982,0.018957345971563982,8435,422,16,13,0,0.018957345971563982,0.018957345971563982
fixed1095__RandomForest__M11,789,0.018957345971563982,0.018957345971563982,8435,422,22,6,0,0.018957345971563982,0.018957345971563982
fixed1095__RandomForest__M11,1024,0.018957345971563982,0.018957345971563982,8435,422,21,12,0,0.018957345971563982,0.018957345971563982
fixed1095__GCN__M11,42,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
fixed1095__GCN__M11,123,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
fixed1095__GCN__M11,456,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
fixed1095__GCN__M11,789,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
fixed1095__GCN__M11,1024,0.002369668246445498,0.002369668246445498,8435,422,1,1,0,0.002369668246445498,0.002369668246445498
fixed1095__SAGE__M11,42,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
fixed1095__SAGE__M11,123,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
fixed1095__SAGE__M11,456,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
fixed1095__SAGE__M11,789,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
fixed1095__SAGE__M11,1024,0.004739336492890996,0.004739336492890996,8435,422,1,1,0,0.004739336492890996,0.004739336492890996
