identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
ORIGINAL_SAGE_G6_seed1024,8435,422,1,1,0,0.0,0.0,0.45030005941770646,0.45030005941770646,0.0,0.0020916446517342726,0.0020916446517342726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_SAGE_M11_seed42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7431253713606655,0.7431253713606655,0.0,0.007283477250360343,0.007283477250360342,-8.673617379884035e-19,0.00881057268722467,0.00881057268722467,0.0,0.009478672985781991,0.009478672985781991,0.0,0.4,0.4,0.0,False
ORIGINAL_SAGE_M11_seed123,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.7815686274509804,0.7815686274509803,-1.1102230246251565e-16,0.009874356268980075,0.009874356268980075,0.0,0.0,0.0,0.0,0.014218009478672985,0.014218009478672985,0.0,0.45,0.45,0.0,False
ORIGINAL_SAGE_M11_seed456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.7836779560308971,0.7836779560308971,0.0,0.00844166527036489,0.008441665270364891,1.734723475976807e-18,0.023529411764705882,0.023529411764705882,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.4,0.4,0.0,False
ORIGINAL_SAGE_M11_seed789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7575995246583481,0.7575995246583482,1.1102230246251565e-16,0.008494978110424638,0.008494978110424638,0.0,0.027649769585253458,0.027649769585253458,0.0,0.009478672985781991,0.009478672985781991,0.0,0.45,0.45,0.0,False
ORIGINAL_SAGE_M11_seed1024,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.7337492572786689,0.733749257278669,1.1102230246251565e-16,0.007733717548409796,0.007733717548409797,8.673617379884035e-19,0.023076923076923078,0.023076923076923078,0.0,0.014218009478672985,0.014218009478672985,0.0,0.35,0.35,0.0,False
REVERSE_GCN_M11_seed42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.8058823529411764,0.8058823529411765,1.1102230246251565e-16,0.008526330826799957,0.008526330826799959,1.734723475976807e-18,0.010362694300518135,0.010362694300518135,0.0,0.009478672985781991,0.009478672985781991,0.0,0.5,0.5,0.0,False
REVERSE_GCN_M11_seed123,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.8387462863933453,0.8387462863933453,0.0,0.009145460169178147,0.009145460169178148,1.734723475976807e-18,0.007326007326007326,0.007326007326007326,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.5,0.5,0.0,False
REVERSE_GCN_M11_seed456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.8199168152109328,0.8199168152109328,0.0,0.008660838867232772,0.008660838867232774,1.734723475976807e-18,0.008130081300813009,0.008130081300813009,0.0,0.004739336492890996,0.004739336492890996,0.0,0.5,0.5,0.0,False
REVERSE_GCN_M11_seed789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.823321449792038,0.823321449792038,0.0,0.008424496908394596,0.008424496908394594,-1.734723475976807e-18,0.01098901098901099,0.01098901098901099,0.0,0.004739336492890996,0.004739336492890996,0.0,0.5,0.5,0.0,False
