condition,seed,best_epoch,validation_auc,validation_threshold,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr
REVERSE_SAGE_M11,456,7,0.8258529371302794,0.8057092428207397,0.7982471776589424,0.008640581331394538,0.01092896174863388,0.0071090047393364926,0.45
REVERSE_SAGE_M11,789,6,0.8192873847847022,0.712661862373352,0.80815210932858,0.008312503635037265,0.0,0.011848341232227487,0.35
REVERSE_SAGE_M11,1024,7,0.8248624294951162,0.7922998666763306,0.8169815805109923,0.008543283205211452,0.009389671361502348,0.011848341232227487,0.4
REVERSE_SAGE_G6,42,4,0.5784186270463613,0.5014053583145142,0.5020796197266785,0.0024439132098894676,0.0,0.0,0.05
REVERSE_SAGE_G6,123,3,0.6064830100426469,0.48449698090553284,0.629245395127748,0.00401076150002528,0.0,0.004739336492890996,0.15
REVERSE_SAGE_G6,456,1,0.4451884715916907,0.4506676495075226,0.38470885323826504,0.003440821185452585,0.0,0.002369668246445498,0.05
REVERSE_SAGE_G6,789,9,0.5218565139634063,0.4914977252483368,0.4898930481283422,0.0022645536194936507,0.0021941854086670325,0.0,0.0
REVERSE_SAGE_G6,1024,7,0.5177276791855826,0.5014312863349915,0.5126143790849673,0.0043931912138404985,0.004524886877828055,0.002369668246445498,0.1
REVERSE_RGCN_M11,42,10,0.8066721694868619,0.8889772295951843,0.6755258467023173,0.006884693076670639,0.01593625498007968,0.009478672985781991,0.35
REVERSE_RGCN_M11,123,7,0.7819197963956528,0.878086507320404,0.7160903149138443,0.007753518456726083,0.02168021680216802,0.011848341232227487,0.35
REVERSE_RGCN_M11,456,6,0.800223552070436,0.9691444635391235,0.7427688651218063,0.008564116081710434,0.010582010582010581,0.009478672985781991,0.5
REVERSE_RGCN_M11,789,17,0.7792818819645068,0.9155761003494263,0.6304337492572787,0.006895716513687224,0.019230769230769232,0.009478672985781991,0.35
REVERSE_RGCN_M11,1024,6,0.8114217911679736,0.7981438636779785,0.7187581699346406,0.007283722463936348,0.0111731843575419,0.0071090047393364926,0.4
REVERSE_RGCN_G6,42,2,0.5845749071399092,0.4843641519546509,0.5805763517528224,0.004008307187385872,0.0,0.002369668246445498,0.25
REVERSE_RGCN_G6,123,2,0.5599566652909617,0.5024422407150269,0.4194949494949495,0.0020474660635665634,0.0,0.0,0.05
REVERSE_RGCN_G6,456,1,0.5768967533360847,0.488202840089798,0.5695989304812834,0.003220721565339006,0.0,0.002369668246445498,0.05
REVERSE_RGCN_G6,789,38,0.48723689640940987,0.4493587613105774,0.574004753416518,0.005090399811207334,0.0047370914258645196,0.0071090047393364926,0.15
REVERSE_RGCN_G6,1024,1,0.510702985279956,0.4788118898868561,0.5405288175876412,0.004457103702601836,0.016129032258064516,0.004739336492890996,0.1
