family,label,left,right,modal,roc_auc_observed_delta,roc_auc_bootstrap_ci_lo,roc_auc_bootstrap_ci_hi,roc_auc_bootstrap_prob_delta_le_0,ap_observed_delta,ap_bootstrap_ci_lo,ap_bootstrap_ci_hi,ap_bootstrap_prob_delta_le_0,f1_observed_delta,f1_bootstrap_ci_lo,f1_bootstrap_ci_hi,f1_bootstrap_prob_delta_le_0,p_at_5pct_observed_delta,p_at_5pct_bootstrap_ci_lo,p_at_5pct_bootstrap_ci_hi,p_at_5pct_bootstrap_prob_delta_le_0,r_at_10fpr_observed_delta,r_at_10fpr_bootstrap_ci_lo,r_at_10fpr_bootstrap_ci_hi,r_at_10fpr_bootstrap_prob_delta_le_0,model,tabular_model
architecture,label_v1_strict_ab_primary,MLP_M11,SAGE_M11,M11,0.07194414735591215,0.0038501962991363465,0.15643704184485194,0.015,0.002572326716711539,-0.0019689990787010946,0.013284241055348605,0.131,-0.002093856747860421,-0.02167227651112823,0.019595415559828078,0.5915,0.003791469194312799,-0.0009456264775413725,0.009478672985781991,0.0815,0.030000000000000082,-0.035320855614973196,0.12307692307692303,0.1955,,
architecture,label_v1_strict_ab_primary,MLP_M11,RGCN_M11,M11,0.1160855614973263,0.03966088484525025,0.1921629125245387,0.0,0.003402329680407489,-0.005685586156830187,0.01647832623936067,0.183,-0.0014516098652338112,-0.03272403095339446,0.030204988842178638,0.545,0.004739336492890997,-0.002823695893451718,0.012796208530805684,0.131,0.09000000000000008,-0.07144285714285717,0.23529411764705876,0.126,,
neural_modality,label_v1_strict_ab_primary,MLP_M10,MLP_M5,,0.08259358288770047,0.015429901854558703,0.15494002991579992,0.0055,0.00495923565262853,-1.2871050256665318e-05,0.013942498198530818,0.026,0.01395429949517681,-0.0060267883866590806,0.03866444748317182,0.0985,0.0061611374407582915,-0.00047393364928910095,0.017061611374407582,0.0395,0.2,-0.08237745098039219,0.4881529411764698,0.0845,MLP,
neural_modality,label_v1_strict_ab_primary,MLP_M11,MLP_M5,,0.07247890671420087,0.00659458981898983,0.14643585528909503,0.014,0.004443786970064327,-0.000230334843004249,0.01659005881945784,0.034,0.003289606493337663,-0.011136717705027692,0.02551313810034965,0.417,0.008056872037914694,0.00045882352941176537,0.018958471704697673,0.0235,0.14000000000000007,-0.09523809523809518,0.3833653846153846,0.118,MLP,
neural_modality,label_v1_strict_ab_primary,MLP_M11,MLP_M10,,-0.010114676173499593,-0.028832502970805758,0.005130234686028743,0.9015,-0.000515448682564203,-0.004025018048674846,0.005554832153329437,0.6035,-0.010664693001839146,-0.031821767575140596,0.006158000413217986,0.8635,0.001895734597156402,-0.0018957345971564003,0.005213270142180093,0.3135,-0.05999999999999994,-0.17500000000000004,0.04444444444444451,0.8835,MLP,
audit_ablation,label_v1_strict_ab_primary,MLP_M11,MLP_M11_NOAUDIT,,0.050874628639334674,0.0015608343639694545,0.10790413728363649,0.0215,0.003955585524620966,0.0004044064837002857,0.014579932924565558,0.01,0.004064920579123128,-0.01396366236297765,0.026101283965209898,0.364,0.006635071090047396,0.0009501187648456068,0.013711583924349879,0.0075,0.09000000000000008,-0.09338095238095237,0.30772727272727257,0.179,MLP,
neural_modality,label_v1_strict_ab_primary,GCN_M10,GCN_M5,,-0.006489601901366715,-0.08513719221027867,0.08246414043181458,0.567,4.136307542980996e-05,-0.0009431731049253696,0.0010187603543004922,0.4535,0.0,0.0,0.0,1.0,0.0,-0.0014218009478672985,0.0014184397163120566,0.695,0.010000000000000009,-0.039999999999999994,0.06666666666666667,0.46,GCN,
neural_modality,label_v1_strict_ab_primary,GCN_M11,GCN_M5,,0.06312893642305406,-0.012472019393755035,0.15209321952741417,0.0565,0.0013587247579894646,0.0002551700535691496,0.0039420314875592555,0.006,0.0,0.0,0.0,1.0,0.002843601895734597,0.0004588235294117653,0.005673758865248228,0.025,0.11,0.01052631578947369,0.22963888888888884,0.0215,GCN,
neural_modality,label_v1_strict_ab_primary,GCN_M11,GCN_M10,,0.06961853832442078,0.013360961784626136,0.12609443410056312,0.0085,0.0013173616825596546,0.0004070392501601196,0.0038546874542155843,0.0025,0.0,0.0,0.0,1.0,0.002843601895734597,0.0,0.005700712589073634,0.0355,0.09999999999999999,0.017391304347826098,0.19047619047619047,0.0125,GCN,
audit_ablation,label_v1_strict_ab_primary,GCN_M11,GCN_M11_NOAUDIT,,0.08266428995840769,0.003261524577015015,0.16609581654725775,0.0205,0.0013759471265883793,5.494605963696971e-05,0.004286590074702441,0.02,0.0,0.0,0.0,1.0,0.0037914691943127963,0.00047393364928909954,0.007565459984538332,0.011,0.1,-0.027272727272727282,0.23338235294117626,0.068,GCN,
