label,condition,protocol,n_seeds,test_n,test_pos,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_mean,f1_sd,p_at_5pct_mean,p_at_5pct_sd,r_at_10fpr_mean,r_at_10fpr_sd
label_v1_strict_ab_primary,MLP_M10,neural_weighted_primary,5,8435,20,0.8420029708853238,0.007120035320378379,0.01145341428898369,0.0007811032967185927,0.025184171676800142,0.011853121800567528,0.012796208530805686,0.0012979207523819104,0.5,0.05000000000000002
label_v1_strict_ab_primary,MLP_M11,neural_weighted_primary,5,8435,20,0.8318882947118242,0.012858824573272655,0.010937965606419487,0.0006494880010467709,0.014519478674960996,0.004588317343680101,0.014691943127962088,0.0030896693863519662,0.44000000000000006,0.022360679774997894
label_v1_strict_ab_primary,MLP_M11_NOAUDIT,audit_ablation,5,8435,20,0.7810136660724896,0.008769405935899558,0.006982380081798521,0.0006935488203123172,0.010454558095837868,0.008204233153490274,0.008056872037914692,0.002701837500234924,0.35,0.06123724356957946
label_v1_strict_ab_primary,MLP_M5,neural_weighted_primary,5,8435,20,0.7594093879976234,0.022616822791024414,0.006494178636355159,0.0006028494894426354,0.011229872181623333,0.006317978653160378,0.006635071090047394,0.0030896693863519662,0.3,0.04999999999999999
label_v1_strict_ab_primary,RGCN_G6,pure_graph,5,8435,20,0.466688651218063,0.04920201713810511,0.0022488484922293097,0.00019785197114101719,0.0017129926772092609,0.0017927443820013706,0.00047393364928909954,0.0010597478566349713,0.04,0.041833001326703784
label_v1_strict_ab_primary,RGCN_M10,neural_weighted_primary,5,8435,20,0.7121188354129531,0.037390139673930206,0.008274183644937013,0.0014926799553364983,0.01793177560879424,0.010794322893225643,0.01042654028436019,0.0021194957132699426,0.37,0.057008771254956916
label_v1_strict_ab_primary,RGCN_M11,neural_weighted_primary,5,8435,20,0.7158027332144979,0.03138176714399225,0.007535635926011998,0.001120847367824122,0.015971088540194807,0.0022241301483199066,0.00995260663507109,0.0010597478566349706,0.35,0.061237243569579464
label_v1_strict_ab_primary,RGCN_M11_NOAUDIT,audit_ablation,5,8435,20,0.6880926916221033,0.019285469071025782,0.0057657332857579185,0.0008648061263232838,0.006580900544285007,0.009635357897783739,0.006161137440758294,0.0031792435699049145,0.3,0.11180339887498948
label_v1_strict_ab_primary,RGCN_M5,neural_weighted_primary,5,8435,20,0.6470802139037433,0.032011463370785725,0.0050742105159136556,0.00027782382761882673,0.007066864056725647,0.00419103488912389,0.005687203791469195,0.003179243569904914,0.24,0.04183300132670377
label_v1_strict_ab_primary,SAGE_G6,pure_graph,5,8435,20,0.45915745692216275,0.05555484069557647,0.002166178291858346,0.00030372206055861837,0.0,0.0,0.0,0.0,0.0,0.0
label_v1_strict_ab_primary,SAGE_M10,neural_weighted_primary,5,8435,20,0.7670647653000594,0.015331928919574182,0.008751255463764707,0.0007961921216519854,0.02011926453341147,0.007421783158738649,0.01042654028436019,0.0027018375002349237,0.4,0.05000000000000002
label_v1_strict_ab_primary,SAGE_M11,neural_weighted_primary,5,8435,20,0.7599441473559121,0.0223911397729876,0.008365638889707948,0.0009835058681005294,0.016613335422821417,0.011707892386440828,0.010900473933649289,0.003179243569904914,0.41,0.04183300132670379
label_v1_strict_ab_primary,SAGE_M11_NOAUDIT,audit_ablation,5,8435,20,0.7174901960784315,0.031077662045442198,0.006132802423517232,0.0008235748365990272,0.010187408577883736,0.007754218963811735,0.00805687203791469,0.0021194957132699426,0.31999999999999995,0.0273861278752583
label_v1_strict_ab_primary,SAGE_M5,neural_weighted_primary,5,8435,20,0.6882448009506832,0.022244507224855603,0.005310574153610116,0.0007302731255720537,0.0010610079575596816,0.00237248591777166,0.005213270142180095,0.0030896693863519662,0.28,0.04472135954999579
label_v1_strict_ab_primary,TABUW_Lasso_M10,tabular_unweighted,5,8435,20,0.6396387403446228,2.657240614954045e-06,0.010567374924730817,7.316385820184788e-08,0.043795620437956206,0.0,0.011848341232227487,0.0,0.35,0.0
