left_condition,right_condition,delta_definition,resampling_scheme,metric,observed_mean_paired_delta,seed_paired_delta_sd,ci_low,ci_high,n_matched_seeds,n_company_clusters,n_test_rows,n_test_positives,bootstrap_replicates
STORED_MLP_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.030000000000000006,0.0570087712549569,-0.035320855614973196,0.12307692307692303,5,4531,8435,20,2000
STORED_MLP_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.11608556149732627,0.03687046035599438,0.03966088484525025,0.1921629125245387,5,4531,8435,20,2000
STORED_MLP_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0034023296804074885,0.0012982927323314845,-0.005685586156830187,0.01647832623936067,5,4531,8435,20,2000
STORED_MLP_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.0014516098652338084,0.00274183265238108,-0.03272403095339446,0.030204988842178638,5,4531,8435,20,2000
STORED_MLP_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.004739336492890996,0.0029022390317336236,-0.002823695893451718,0.012796208530805684,5,4531,8435,20,2000
STORED_MLP_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.09000000000000002,0.08215838362577492,-0.07144285714285717,0.23529411764705876,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_x_matched_seed,roc_auc,0.03198039215686277,0.017701752341662217,-0.025334625156147473,0.09283474139769719,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_x_matched_seed,ap,0.003822311561033344,0.0009614125038003462,-0.0022998899858923854,0.01756751948854999,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.011993823258032405,0.014124355650147795,-0.010856370838316812,0.0616871908804827,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.0018957345971563986,0.0030896693863519667,-0.009026128266033256,0.01232227488151659,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.019999999999999997,0.05700877125495689,-0.16673076923076924,0.23814285714285693,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,roc_auc,0.045754604872251935,0.009788818738581444,-0.029780801624673947,0.12166718697882888,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,ap,0.006458436562394992,0.0009204620041649509,-0.0022897648924216155,0.026729613343995328,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.017939621937602297,0.013640401879403213,-0.022575956453659084,0.09114752423764608,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.010900473933649289,0.0027018375002349246,0.0,0.023222748815165874,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,-0.009999999999999986,0.07416198487095663,-0.25000000000000006,0.27272727272727265,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,roc_auc,0.0465270350564468,0.01816884699969019,-0.011713298741901797,0.10565433962395937,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,ap,0.0056142328101035826,0.0017988948737851231,-0.0005254580533704279,0.023428216146794963,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.020606257338615926,0.018056210662766272,-0.008744370383714646,0.08699541890334711,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.007109004739336494,0.002369668246445497,-0.001900237529691211,0.01611470094899303,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.020000000000000007,0.09746794344808962,-0.21335714285714288,0.2556249999999997,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_x_matched_seed,roc_auc,0.17525490196078433,0.05870988749606367,0.07388478694619559,0.2890358360364181,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_x_matched_seed,ap,0.003954278435743348,0.0015280776518326713,-9.997656748845597e-05,0.010588222572853013,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.008573679995391104,0.002067813064939901,0.0,0.02852754802106747,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.0018957345971563982,0.004238991426539886,-0.0056603773584905665,0.010401891252955082,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.29000000000000004,0.14317821063276354,-0.008017391304347884,0.5391938405797098,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_x_matched_seed,roc_auc,0.10086096256684496,0.05829219049904647,-0.02451270524571315,0.23030189707762538,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_x_matched_seed,ap,0.0013402519938587518,0.001944195714068778,-0.0020453612321354804,0.0058140405111107,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,-0.002447474314261564,0.009384119743764392,-0.019784872230392703,0.005330892694078567,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.0037914691943127963,0.0054553859873086915,-0.002861839703958266,0.011411200869448253,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,-0.04,0.16355427233796127,-0.21539999999999995,0.1999999999999999,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_x_matched_seed,roc_auc,0.057397504456328054,0.026653496991065746,2.664929527165979e-06,0.13206616817190886,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_x_matched_seed,ap,0.0007804054676412995,0.0008032754932866068,-0.002535457374000801,0.0032459372694223455,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,-0.010706290828443942,0.011593785961413984,-0.03258697419114205,0.0008147818095229792,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_x_matched_seed,p_at_5pct,-0.001421800947867299,0.0027018375002349233,-0.005213270142180095,0.0028503562945368134,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.029999999999999992,0.09082951062292476,-0.07999999999999999,0.18890350877192968,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_x_matched_seed,roc_auc,-0.019087344028520394,0.07304657638011734,-0.12500562261179896,0.07979409445985146,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_x_matched_seed,ap,-5.928260746585305e-05,0.0011481977397587747,-0.00766714722166269,0.00538899544911275,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,-0.000250601349680921,0.004401639317657173,-0.02869115921409127,0.024447843481531176,5,4531,8435,20,2000
