condition,seed,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,p5_unified,p5_archived
TABUW_Lasso_M11,1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M5,42,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Ridge_M5,123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Ridge_M5,456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Ridge_M5,789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Ridge_M5,1024,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Ridge_M10,42,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M10,123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M10,456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M10,789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M10,1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M11,42,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M11,123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M11,456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M11,789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Ridge_M11,1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_RandomForest_M5,42,8435,422,13,2,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
TABUW_RandomForest_M5,123,8435,422,12,6,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
TABUW_RandomForest_M5,456,8435,422,10,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_RandomForest_M5,789,8435,422,20,19,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_RandomForest_M5,1024,8435,422,17,16,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_RandomForest_M10,42,8435,422,9,8,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
